KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
August,"71,267","21,812","163,067","49,594","1,338,249","169,156","115,892","26,731","26,527","458,887","190,743","31,506","31,470","374,649","64,412","124,075","48,967","90,768","106,933","33,256","160,052","189,015","275,639","109,906","64,765","118,644","18,066","26,496","92,884","23,975","315,713","64,354","646,511","236,196","10,933","280,070","69,547","101,302","357,273","31,586","90,068","12,185","138,899","766,777","43,672","10,807","153,056","192,619","37,636","112,262","12,359"
September,"67,845","20,652","151,913","46,920","1,238,810","153,860","110,417","25,485","25,317","428,864","181,753","26,260","30,301","351,216","60,192","116,675","45,776","89,084","98,650","31,719","145,431","176,116","259,632","104,983","61,071","112,164","17,218","25,512","87,683","22,302","291,849","59,181","596,055","226,818","10,376","266,294","63,699","94,446","335,921","28,954","86,435","11,576","131,277","726,345","41,696","10,305","143,845","183,290","35,551","106,032","11,758"
October,"65,226","20,073","143,158","45,127","1,168,735","146,532","106,481","24,613","24,707","411,254","174,679","21,764","29,161","332,267","56,187","110,236","42,876","87,061","92,847","30,523","135,022","167,305","244,131","100,196","57,755","106,560","16,446","24,449","84,069","20,772","278,186","57,035","565,447","217,563","9,938","254,231","59,124","90,263","316,048","26,355","83,271","10,968","125,292","700,861","40,133","9,858","136,313","174,043","33,834","100,889","11,226"
November,"62,850","19,331","136,731","43,847","1,089,426","139,634","101,413","23,833","24,069","394,130","169,146","21,114","27,955","316,231","52,322","104,672","40,270","84,785","87,482","28,567","123,983","154,945","229,711","94,293","54,938","100,994","15,745","23,228","81,353","19,357","262,592","55,015","534,294","207,135","9,539","244,235","56,112","86,380","298,649","23,528","80,526","10,339","120,098","668,252","38,913","9,369","130,009","165,535","32,443","96,695","10,757"
December,"61,224","18,965","132,536","43,201","1,043,326","133,462","97,852","23,118","23,311","376,322","164,708","20,849","26,798","308,334","49,047","100,458","38,577","82,915","83,645","26,876","112,115","145,549","218,960","88,252","52,684","95,562","15,203","22,110","79,582","18,265","258,298","53,221","522,934","196,401","9,240","236,977","54,619","84,837","285,547","21,266","78,511","9,821","116,906","645,749","38,153","8,826","125,366","159,636","31,262","93,895","10,351"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SNAP Total Benefits, FY2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Benefits,"$1,974,053,519 ","$288,045,258 ","$2,175,824,745 ","$765,794,046 ","$11,243,441,465 ","$1,304,761,706 ","$980,157,323 ","$288,020,710 ","$381,121,744 ","$8,089,425,782 ","$4,085,504,054 ","$944,131,080 ","$258,375,969 ","$5,104,129,949 ","$727,003,312 ","$1,619,482,719 ","$488,517,358 ","$1,610,391,177 ","$2,462,801,412 ","$409,896,690 ","$2,146,479,444 ","$2,350,041,332 ","$3,246,391,707 ","$1,985,655,426 ","$1,066,435,430 ","$1,734,889,161 ","$228,795,841 ","$356,554,249 ","$1,085,383,815 ","$174,557,213 ","$2,169,432,714 ","$1,339,883,626 ","$7,311,543,597 ","$3,994,650,815 ","$113,160,074 ","$3,865,203,855 ","$1,502,065,758 ","$1,847,403,478 ","$5,170,214,891 ","$378,689,563 ","$1,550,266,093 ","$177,819,200 ","$2,316,136,428 ","$8,751,945,285 ","$412,957,155 ","$169,354,925 ","$1,901,832,165 ","$2,359,661,930 ","$772,297,950 ","$1,964,034,853 ","$73,313,685 "
"Monthly Average Number of Persons Participating in SNAP, FY2021",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Monthly SNAP Participants,"769,605.58","82,887.50","879,123.08","346,176.42","4,327,061.67","513,945.08","371,632.25","115,483.50","140,115.33","3,342,501.17","1,640,617.25","195,833.75","132,607.25","2,054,052.92","286,050.42","645,754.42","200,344.25","597,747","924,724","158,096.58","823,501.25","929,028.83","1,278,212.58","452,651.58","418,450.67","698,720","97,186.42","157,272.58","453,249.83","69,116.33","825,664.17","520,494.17","2,780,713.83","1,541,660.67","50,376.50","1,509,437.67","619,148.83","706,294.08","1,766,450","142,148.50","608,106.50","74,627.42","881,346.83","3,408,385.17","163,009.75","67,789.58","750,784.67","927,998.50","302,443.83","762,395.08","29,118"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Footnotes, Notes, Sources & Definitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Gross State Product (GSP) (millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are displayed in millions of current dollars for each year indicated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Bureau of Economic Analysis (BEA), [Annual Gross Domestic Product in Current Dollars by State](https://apps.bea.gov/itable/?ReqID=70&step=1#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwyNywzMF0sImRhdGEiOltbIlRhYmxlSWQiLCI2MDAiXSxbIk1ham9yX0FyZWEiLCIwIl0sWyJTdGF0ZSIsWyIwIl1dLFsiQXJlYSIsWyJYWCJdXSxbIlN0YXRpc3RpYyIsWyI0Il1dLFsiVW5pdF9vZl9tZWFzdXJlIiwiTGV2ZWxzIl0sWyJZZWFyIixbIjIwMjQiXV0sWyJZZWFyQmVnaW4iLCItMSJdLFsiWWVhcl9FbmQiLCItMSJdXX0=), Accessed on April 11, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*GSP*: Gross State Product is a measurement of a state's output; it is the sum of value added from all industries in the state. GSP is the state counterpart to the nation's Gross Domestic Product (GDP). GDP is the market value of goods and services produced by labor and property in the United States, regardless of nationality. Current dollar GSP components are compensation of employees, taxes on production and imports, and gross-operating surplus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployment Rate (Seasonally Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The unemployment rate represents the percentage of unemployed individuals within the civilian non-institutional population ages 16 and older. Data are seasonally adjusted and based on place of residence. National data are obtained from the Bureau of Labor Statistics (BLS) LNS series, while state-level data, including Puerto Rico, are sourced from the LASST series via the BLS API. National data are rounded to the nearest thousand, and state-level figures may not sum to the national total because BLS independently develops the national employment series and does [not force state estimates to align](https://www.bls.gov/news.release/laus.htm#:~:text=State%20estimation%20procedures%20are%20designed,errors%20than%20the%20national%20series.). Area definitions align with the Office of Management and Budget (OMB) Bulletin No. 15-01 (July 15, 2015) and are available on the [Bureau of Labor Statistics website](http://www.bls.gov/lau/lausmsa.htm). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bureau of Labor Statistics (BLS) API, utilizing the LNS and LASST tables for civilian labor force and unemployment data by state and the nation, seasonally adjusted. Data retrieved via the BLS API. [Access BLS Data.](https://data.bls.gov/dataQuery/search)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*N/A*: Data not available. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP Total Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: U.S. totals include Guam and the U.S. U.S. Virgin Islands. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data represent total spent on SNAP benefits during FY 2024. All data are subject to revision. The following outlying areas receive Nutrition Assistance Grants which provide benefits analogous to the Supplemental Nutrition Assistance Program: Puerto Rico, American Samoa, and the Northern Marianas. Data not available for these territories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[National and State Level Monthly Data](https://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap), 1969-2024, United States Department of Agriculture (USDA) Food and Nutrition Service, Supplemental Nutrition Assistance Program (SNAP), as of July 11, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Federal Fiscal Year*: FY refers to the Federal Fiscal Year, which runs from October 1 through September 30. For example, FY 2024 refers to the period from October 1, 2023 through September 30, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Average Number of Persons Participating in SNAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: U.S. totals include Guam and the U.S. Virgin Islands. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of persons participating is reported monthly. Annual averages are the sums divided by twelve. All data are subject to revision. The following outlying areas receive Nutrition Assistance Grants which provide benefits analogous to the Supplemental Nutrition Assistance Program: Puerto Rico, American Samoa, and the Northern Marianas. Data not available for these territories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[National and State Level Monthly Data](https://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap), 1969-2024, United States Department of Agriculture (USDA) Food and Nutrition Service, Supplemental Nutrition Assistance Program (SNAP), as of July 11, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Federal Fiscal Year*: FY refers to the Federal Fiscal Year, which runs from October 1 through September 30. For example, FY 2024 refers to the period from October 1, 2023 through September 30, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
