KFF - Custom State Reports,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Dist. of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Iowa,Indiana,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
Total Benefits,"$2,048,985,036 ","$246,443,959 ","$1,882,264,854 ","$509,821,832 ","$14,387,169,754 ","$1,447,682,614 ","$1,042,876,765 ","$296,207,465 ","$379,372,333 ","$6,756,576,747 ","$3,232,508,254 ","$842,405,853 ","$249,422,713 ","$5,440,583,141 ","$509,140,557 ","$1,302,142,694 ","$499,072,350 ","$1,121,254,285 ","$2,354,543,870 ","$421,962,459 ","$1,692,132,703 ","$3,090,708,314 ","$3,609,837,867 ","$1,440,695,709 ","$849,321,253 ","$1,518,865,893 ","$167,544,091 ","$313,771,156 ","$1,155,507,853 ","$187,231,231 ","$1,975,496,233 ","$1,294,851,966 ","$8,278,153,441 ","$4,041,086,120 ","$98,270,022 ","$3,547,971,039 ","$1,721,306,037 ","$1,829,707,953 ","$4,704,868,606 ","$395,199,118 ","$1,544,190,999 ","$164,655,530 ","$1,799,676,926 ","$8,779,163,626 ","$390,418,394 ","$196,097,576 ","$2,178,169,078 ","$2,282,766,083 ","$755,692,440 ","$1,703,057,958 ","$67,151,556 "
"Monthly Average Number of Persons Participating in SNAP, FY2023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Monthly SNAP Participants,"776,479.08","54,650.50","898,016.08","249,708.75","5,217,210.83","564,020.08","392,515.42","121,174.33","138,570.08","3,089,910.75","1,543,122.42","157,619.42","124,043.25","2,031,384.50","262,612.92","598,746.50","186,985.25","554,221.08","896,550.67","167,767.83","671,132","1,084,038.67","1,430,173.75","460,568.08","399,186.33","665,252.33","84,526.83","156,399.17","493,015","74,617.33","779,349.42","488,363.50","2,886,162.50","1,594,275.17","45,153.08","1,418,004.92","681,521.75","732,422","1,927,477.83","142,962.50","619,480","71,470.17","767,843.42","3,396,071.42","158,441.25","70,685.17","842,819","896,287.08","307,242.33","707,321.33","29,744.92"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Footnotes, Notes, Sources & Definitions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Gross State Product (GSP) (millions of current dollars),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data are displayed in millions of current dollars for each year indicated.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"U.S. Bureau of Economic Analysis (BEA), [Annual Gross Domestic Product in Current Dollars by State](https://apps.bea.gov/itable/?ReqID=70&step=1#eyJhcHBpZCI6NzAsInN0ZXBzIjpbMSwyOSwyNSwzMSwyNiwyNywzMF0sImRhdGEiOltbIlRhYmxlSWQiLCI2MDAiXSxbIk1ham9yX0FyZWEiLCIwIl0sWyJTdGF0ZSIsWyIwIl1dLFsiQXJlYSIsWyJYWCJdXSxbIlN0YXRpc3RpYyIsWyI0Il1dLFsiVW5pdF9vZl9tZWFzdXJlIiwiTGV2ZWxzIl0sWyJZZWFyIixbIjIwMjQiXV0sWyJZZWFyQmVnaW4iLCItMSJdLFsiWWVhcl9FbmQiLCItMSJdXX0=), Accessed on April 11, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*GSP*: Gross State Product is a measurement of a state's output; it is the sum of value added from all industries in the state. GSP is the state counterpart to the nation's Gross Domestic Product (GDP). GDP is the market value of goods and services produced by labor and property in the United States, regardless of nationality. Current dollar GSP components are compensation of employees, taxes on production and imports, and gross-operating surplus.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unemployment Rate (Seasonally Adjusted),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: US total excludes Puerto Rico.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The unemployment rate represents the percentage of unemployed individuals within the civilian non-institutional population ages 16 and older. Data are seasonally adjusted and based on place of residence. National data are obtained from the Bureau of Labor Statistics (BLS) LNS series, while state-level data, including Puerto Rico, are sourced from the LASST series via the BLS API. National data are rounded to the nearest thousand, and state-level figures may not sum to the national total because BLS independently develops the national employment series and does [not force state estimates to align](https://www.bls.gov/news.release/laus.htm#:~:text=State%20estimation%20procedures%20are%20designed,errors%20than%20the%20national%20series.). Area definitions align with the Office of Management and Budget (OMB) Bulletin No. 15-01 (July 15, 2015) and are available on the [Bureau of Labor Statistics website](http://www.bls.gov/lau/lausmsa.htm). ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Bureau of Labor Statistics (BLS) API, utilizing the LNS and LASST tables for civilian labor force and unemployment data by state and the nation, seasonally adjusted. Data retrieved via the BLS API. [Access BLS Data.](https://data.bls.gov/dataQuery/search)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
*N/A*: Data not available. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SNAP Total Benefits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: U.S. totals include Guam and the U.S. U.S. Virgin Islands. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Data represent total spent on SNAP benefits during FY 2024. All data are subject to revision. The following outlying areas receive Nutrition Assistance Grants which provide benefits analogous to the Supplemental Nutrition Assistance Program: Puerto Rico, American Samoa, and the Northern Marianas. Data not available for these territories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[National and State Level Monthly Data](https://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap), 1969-2024, United States Department of Agriculture (USDA) Food and Nutrition Service, Supplemental Nutrition Assistance Program (SNAP), as of July 11, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Federal Fiscal Year*: FY refers to the Federal Fiscal Year, which runs from October 1 through September 30. For example, FY 2024 refers to the period from October 1, 2023 through September 30, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monthly Average Number of Persons Participating in SNAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnotes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United States: U.S. totals include Guam and the U.S. Virgin Islands. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The number of persons participating is reported monthly. Annual averages are the sums divided by twelve. All data are subject to revision. The following outlying areas receive Nutrition Assistance Grants which provide benefits analogous to the Supplemental Nutrition Assistance Program: Puerto Rico, American Samoa, and the Northern Marianas. Data not available for these territories.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sources,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[National and State Level Monthly Data](https://www.fns.usda.gov/pd/supplemental-nutrition-assistance-program-snap), 1969-2024, United States Department of Agriculture (USDA) Food and Nutrition Service, Supplemental Nutrition Assistance Program (SNAP), as of July 11, 2025.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Definitions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"*Federal Fiscal Year*: FY refers to the Federal Fiscal Year, which runs from October 1 through September 30. For example, FY 2024 refers to the period from October 1, 2023 through September 30, 2024.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
